name,date,regDeadline,eventEnd,platform,tags,prize,description,registerLink
Smart India Hackathon 2026,"March 20–21, 2026",2026-03-10,2026-03-21,Unstop,"General,Web,ML",₹1,00,000,India's largest national-level hackathon organized by the Government of India. Teams solve real problems submitted by ministries and PSUs.,https://unstop.com
HackMIT 2026,"April 12–13, 2026",2026-04-01,2026-04-13,Devpost,"General,ML,Web",$10000,One of the most prestigious student hackathons hosted by MIT. Open to university students globally. 24-hour event with mentors from top tech companies.,https://devpost.com
Google Solution Challenge 2026,"April 30, 2026",2026-04-20,2026-04-30,Google GDSC,"General,ML,Web",$3000 + Mentorship,Annual challenge for GDSC members to build solutions addressing the UN's 17 Sustainable Development Goals using Google technologies.,https://developers.google.com/community/gdsc-solution-challenge
MLH Global Hack Week AI Edition,"May 5–11, 2026",2026-05-04,2026-05-11,MLH,"ML,General",Swag + Certificates,A week-long virtual hackathon by Major League Hacking focused on AI and machine learning. Beginner-friendly tracks make this perfect for first-time hackers.,https://mlh.io
Devfolio Hack Summit 2026,"May 17–18, 2026",2026-05-10,2026-05-18,Devfolio,"Web,General",₹50000,A flagship hackathon by Devfolio bringing together student developers across India to build full-stack web applications.,https://devfolio.co
CyberPatriot National Youth Cyber Defense,"June 1–15, 2026",2026-05-20,2026-06-15,HackerEarth,Cybersecurity,$2000 Scholarships,Students defend virtual networks against simulated cyberattacks. Excellent for beginners exploring network security and ethical hacking.,https://www.hackerearth.com
IEEE Xtreme 20.0,"June 20, 2026",2026-06-10,2026-06-20,IEEE,"General,ML",Cash + IEEE Certificates,A global 24-hour online competitive programming challenge organized by IEEE. Open to all IEEE student members.,https://ieeextreme.org
HackCBS 9.0,"July 5–6, 2026",2026-06-25,2026-07-06,Devfolio,"Web,ML,General",₹75000,One of Delhi's largest student-run hackathons. Multiple problem tracks and travel stipends for outstation participants.,https://devfolio.co
ETHIndia 2026,"August 8–10, 2026",2026-07-25,2026-08-10,Devfolio,"Web,General",$50000 in Prizes,Asia's largest Ethereum hackathon. Build decentralized apps and blockchain infrastructure with huge prize pool.,https://devfolio.co
Flipkart Grid 8.0,"August 20, 2026",2026-08-10,2026-08-20,Unstop,"ML,Web,General",PPO + ₹100000,Flipkart's national engineering campus challenge. Winners get Pre-Placement Offers at Flipkart.,https://unstop.com
HackTheBox University CTF 2026,"September 12–14, 2026",2026-09-05,2026-09-14,Hack The Box,Cybersecurity,$5000 + Pro Lab Access,A Capture The Flag competition exclusively for university students. Challenges span web exploitation and cryptography.,https://www.hackthebox.com
Flutter Puzzle Hack 2026,"October 3–17, 2026",2026-09-25,2026-10-17,Devpost,"Mobile,Web",$20000,Google and Flutter's official global hackathon. Judged on creativity UI polish and innovative use of the framework.,https://devpost.com
Microsoft Imagine Cup 2026,"April 1–June 30, 2026",2026-04-15,2026-06-30,Microsoft,"ML,General,Web",$100000 + Azure Credits,Microsoft's premier global student technology competition. Build AI-powered solutions with access to Azure credits and mentors.,https://imaginecup.microsoft.com
Amazon ML Challenge 2026,"April 10–May 10, 2026",2026-04-10,2026-05-10,HackerEarth,ML,₹500000 + PPO,Amazon's annual machine learning competition. Solve complex ML problems with real Amazon datasets.,https://www.hackerearth.com
ACM ICPC Asia Regional 2026,"September 20–22, 2026",2026-09-10,2026-09-22,ACM / Unstop,General,Gold Medals + Scholarships,The most prestigious competitive programming contest for university students qualifying for ICPC World Finals.,https://unstop.com
TreeHacks 2026,"March 28–30, 2026",2026-03-20,2026-03-30,MLH / Devpost,"General,ML,Web",$15000,Stanford University's flagship hackathon. Focus on high-impact projects addressing climate health and education.,https://devpost.com
HackGT 12,"October 17–19, 2026",2026-10-10,2026-10-19,Georgia Tech / Devpost,"General,Web,ML",$12000,Georgia Tech's large-scale student hackathon welcoming over 1000 participants with sponsor APIs and hardware.,https://devpost.com
PennApps XXV,"September 5–7, 2026",2026-08-25,2026-09-07,UPenn / Devpost,"General,Web,ML",$10000,One of the original college hackathons hosted by University of Pennsylvania. 36-hour event since 2009.,https://devpost.com
HackNYU 2026,"March 14–15, 2026",2026-03-10,2026-03-15,NYU / Devpost,"General,Web,Mobile",$8000,New York University's signature hackathon across three global campuses. Beginner-friendly with themed tracks.,https://devpost.com
TCS CodeVita Season 13,"May 1–31, 2026",2026-04-25,2026-05-31,TCS / HackerEarth,General,₹300000 + TCS PPO,TCS's global coding contest. Top performers earn Pre-Placement Offers at Tata Consultancy Services.,https://www.hackerearth.com
HackerEarth AI/ML Hackathon,"April 20–May 20, 2026",2026-04-20,2026-05-20,HackerEarth,ML,$3000,A month-long online hackathon focused on machine learning and AI use cases with real-world datasets.,https://www.hackerearth.com
NASA Space Apps Challenge 2026,"October 3–5, 2026",2026-09-25,2026-10-05,NASA / Devpost,"General,ML,Web",NASA Recognition + Merchandise,International hackathon using open NASA data for Earth space science aeronautics challenges across 300+ cities.,https://devpost.com
AngelHack Global Hackathon 2026,"June 14–15, 2026",2026-06-07,2026-06-15,AngelHack / Devpost,"Web,Mobile,General",$25000,AngelHack connects developers to build startups in 24 hours across 20+ cities with investor network access.,https://devpost.com
Meta Hacker Cup 2026,"August 1–October 31, 2026",2026-08-01,2026-10-31,Meta,General,$20000,Meta's annual international programming competition spanning multiple rounds from Qualification to Finals.,https://www.facebook.com/codingcompetitions/hacker-cup
HackUPC 2026,"May 9–11, 2026",2026-05-01,2026-05-11,UPC Barcelona / Devpost,"General,Web,ML",€5000,One of Europe's largest student hackathons by Polytechnic University of Catalonia with travel reimbursements.,https://devpost.com
Junction 2026,"November 7–9, 2026",2026-10-25,2026-11-09,Junction / Devpost,"General,Web,ML,Mobile",€20000,Europe's leading hackathon in Helsinki Finland with 1500 hackers and top global company partners.,https://devpost.com
MLH Localhost Cybersecurity,"June 6–7, 2026",2026-06-01,2026-06-07,MLH,"Cybersecurity,General",Certificates + Swag,Beginner-focused cybersecurity weekend by Major League Hacking. Learn ethical hacking and earn MLH certifications.,https://mlh.io
Kaggle AI Report Competition 2026,"April 5–30, 2026",2026-04-05,2026-04-30,Kaggle,ML,$50000,Kaggle's flagship annual data science challenge. Build the best predictive model on real-world datasets.,https://www.kaggle.com/competitions
Infosys Hackathon InfyTQ 2026,"May 25–June 25, 2026",2026-05-20,2026-06-25,Infosys / Unstop,"General,Web",₹200000 + Internship,Infosys campus innovation challenge. Top performers receive internship offers and Certified Developer badges.,https://unstop.com
Google Summer of Code 2026,"March 24–August 25, 2026",2026-04-08,2026-08-25,Google,"General,Web,ML",$1500–$6600 Stipend,Google's annual program where students contribute to open-source organizations over 3 months for a stipend.,https://summerofcode.withgoogle.com
Global Game Jam 2026,"July 17–19, 2026",2026-07-10,2026-07-19,GGJ / Devpost,"General,Mobile,Web",Recognition + Portfolio,World's largest game creation event. Build a playable game in 48 hours across 100+ countries.,https://devpost.com
picoCTF 2026,"March 15–April 15, 2026",2026-03-15,2026-04-15,Carnegie Mellon / CTFd,Cybersecurity,$5000 + Swag,Carnegie Mellon's beginner-friendly CTF competition. The best entry point into competitive cybersecurity.,https://picoctf.org
Hack The Valley 8,"September 27–28, 2026",2026-09-20,2026-09-28,University of Toronto / Devpost,"General,ML,Web",$8000 CAD,University of Toronto Scarborough's flagship 24-hour hackathon fostering creativity and technical innovation.,https://devpost.com
MLH Fellowship Kickoff Hackathon,"June 1–3, 2026",2026-05-25,2026-06-03,MLH,"Web,General,ML",$5000 + Fellowship,MLH fellowship program kickoff. High performers get invited to a 12-week paid remote internship alternative.,https://mlh.io
HackerEarth Frontend Challenge,"April 15–May 15, 2026",2026-04-15,2026-05-15,HackerEarth,Web,$2000,Month-long challenge building beautiful accessible and performant web interfaces with clean code and documentation.,https://www.hackerearth.com
ACM-W Celebration of Women in Computing,"July 10–12, 2026",2026-07-01,2026-07-12,ACM,"General,Web,ML",Scholarships + Recognition,ACM-W annual hackathon celebrating women in computing. Open to all genders with mentorship and social good projects.,https://women.acm.org
Hack36 MNNIT Allahabad,"April 18–19, 2026",2026-04-10,2026-04-19,Devfolio,"General,ML,Web",₹60000,MNNIT Allahabad's inter-college hackathon with 500+ hackers across HealthTech EdTech FinTech tracks.,https://devfolio.co
Myntra HackerRamp WeForShe 2026,"May 1–June 30, 2026",2026-04-25,2026-06-30,Unstop,"ML,Web,General",₹300000 + Internship,Myntra campus hackathon for fashion technology. Build ML solutions for personalization and visual search.,https://unstop.com
OpenAI Developer Day Hackathon 2026,"June 20–21, 2026",2026-06-13,2026-06-21,Devpost,"ML,Web,General",$30000 + API Credits,Official OpenAI hackathon. Build novel applications using GPT-4 DALL-E or Whisper APIs judged on creativity.,https://devpost.com
StudentHack IX Manchester,"October 25–26, 2026",2026-10-18,2026-10-26,MLH / Devpost,"General,Web,ML",£3000,University of Manchester student hackathon open to students across Europe with beginner-friendly workshops.,https://devpost.com
GreatUniHack 2026,"November 14–15, 2026",2026-11-07,2026-11-15,MLH / Devpost,"General,Web,Mobile",£2500,University of Manchester inter-university hackathon with hardware challenges workshops and sponsor prizes.,https://devpost.com
Hack For Good GitHub Dev.to,"August 15–31, 2026",2026-08-15,2026-08-31,Dev.to / GitHub,"Web,General,ML",$10000 + GitHub Swag,Online hackathon by GitHub and Dev.to for open-source social good tools. Projects must be public repositories.,https://dev.to
